pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
60,0.6000,DynamicV1Rebalance,20.0000,711.4625,142.2925,spend50p,0.9533,-1.4161,-3.8869,-6.4835,-9.1812,-12.0264,-15.0100,-18.0036,-21.2340,-24.4972,-27.9337,-31.4996,-35.2129,-38.9525,-42.7405,-46.3384,-50.1545,-53.9368,-57.8137,-61.7489,-65.7793,-69.9614,-74.3060,-78.8739,-83.5833,-88.5235,-93.3974,-98.7621,-103.4198,-107.6093,-112.1829,-117.0240,-122.9098,-128.1633,-133.9832
60,0.6000,DynamicV1Rebalance,20.0000,711.4625,142.2925,spend75p,1.1508,-0.8535,-2.9827,-5.2629,-7.6419,-10.2966,-13.0772,-16.0023,-19.2422,-22.5535,-26.0838,-29.7536,-33.3917,-37.1244,-40.7741,-44.3034,-47.7717,-51.1576,-54.4779,-57.8833,-61.2181,-64.4971,-67.9976,-71.5723,-75.2379,-78.9318,-82.7219,-86.8262,-90.4015,-93.8466,-97.2181,-101.0267,-105.0807,-109.2670,-113.6982
60,0.6000,DynamicV1Rebalance,25.0000,569.1700,142.2925,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.6000,DynamicV1Rebalance,25.0000,569.1700,142.2925,spend25p,0.7404,-2.0681,-5.0653,-8.1445,-11.1475,-14.1565,-17.3243,-20.4629,-23.7399,-26.9206,-30.3021,-33.7685,-37.3068,-41.0417,-44.9848,-48.9470,-53.1901,-57.6019,-62.2396,-67.0709,-72.2877,-77.7891,-83.4498,-89.2659,-95.5365,-102.3839,-108.9568,-115.7111,-122.3628,-128.2167,-134.4862,-140.6746,-148.0303,-156.2526,-164.5586
60,0.6000,DynamicV1Rebalance,25.0000,569.1700,142.2925,spend50p,0.9533,-1.4161,-3.8869,-6.4835,-9.1812,-12.0264,-15.0100,-18.0036,-21.2340,-24.4972,-27.9337,-31.4996,-35.2129,-38.9525,-42.7405,-46.3384,-50.1545,-53.9368,-57.8137,-61.7489,-65.7793,-69.9614,-74.3060,-78.8739,-83.5833,-88.5235,-93.3974,-98.7621,-103.4198,-107.6093,-112.1829,-117.0240,-122.9098,-128.1633,-133.9832
60,0.6000,DynamicV1Rebalance,25.0000,569.1700,142.2925,spend75p,1.1508,-0.8535,-2.9827,-5.2629,-7.6419,-10.2966,-13.0772,-16.0023,-19.2422,-22.5535,-26.0838,-29.7536,-33.3917,-37.1244,-40.7741,-44.3034,-47.7717,-51.1576,-54.4779,-57.8833,-61.2181,-64.4971,-67.9976,-71.5723,-75.2379,-78.9318,-82.7219,-86.8262,-90.4015,-93.8466,-97.2181,-101.0267,-105.0807,-109.2670,-113.6982
60,0.8000,DynamicV1Rebalance,3.0000,6324.1109,189.7233,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.8000,DynamicV1Rebalance,3.0000,6324.1109,189.7233,spend25p,48.2416,44.8317,41.2434,37.4135,33.6929,29.9846,26.1548,22.2669,18.7474,15.1146,11.3076,7.6732,4.0725,0.4982,-3.1620,-6.6517,-10.1245,-13.5645,-16.8610,-20.3772,-23.9329,-27.2374,-30.8109,-34.2949,-38.1272,-41.8971,-45.7275,-49.5162,-53.0515,-56.3460,-59.5000,-63.0399,-67.0221,-71.1978,-75.6677
60,0.8000,DynamicV1Rebalance,3.0000,6324.1109,189.7233,spend50p,48.7783,46.3680,43.8893,41.4306,38.8937,36.1878,33.3967,30.5226,27.7335,24.6606,21.7763,18.6530,15.7099,12.2538,8.9680,5.4424,1.7365,-1.7679,-5.2327,-9.1418,-12.8460,-16.5168,-20.4957,-24.3548,-28.6608,-32.8391,-37.1500,-41.8016,-45.7619,-49.0137,-52.4194,-56.0035,-59.9599,-63.7316,-67.6531
60,0.8000,DynamicV1Rebalance,3.0000,6324.1109,189.7233,spend75p,49.2582,47.8840,46.5491,45.0013,43.5480,42.0604,40.4622,38.5782,36.7716,34.5757,32.0180,29.7895,27.1603,24.6676,21.4371,18.4257,14.8323,11.4332,7.7639,3.9072,0.4469,-3.5693,-7.4588,-11.4190,-15.4653,-20.0049,-25.1490,-30.2532,-34.6279,-37.7368,-41.1239,-44.8772,-49.2270,-53.6140,-58.3070
60,0.8000,DynamicV1Rebalance,4.0000,4743.0832,189.7233,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.8000,DynamicV1Rebalance,4.0000,4743.0832,189.7233,spend25p,48.2416,44.8317,41.2434,37.4135,33.6929,29.9846,26.1548,22.2669,18.7474,15.1146,11.3076,7.6732,4.0725,0.4982,-3.1620,-6.6517,-10.1245,-13.5645,-16.8610,-20.3772,-23.9329,-27.2374,-30.8109,-34.2949,-38.1272,-41.8971,-45.7275,-49.5162,-53.0515,-56.3460,-59.5000,-63.0399,-67.0221,-71.1978,-75.6677
60,0.8000,DynamicV1Rebalance,4.0000,4743.0832,189.7233,spend50p,48.7783,46.3680,43.8893,41.4306,38.8937,36.1878,33.3967,30.5226,27.7335,24.6606,21.7763,18.6530,15.7099,12.2538,8.9680,5.4424,1.7365,-1.7679,-5.2327,-9.1418,-12.8460,-16.5168,-20.4957,-24.3548,-28.6608,-32.8391,-37.1500,-41.8016,-45.7619,-49.0137,-52.4194,-56.0035,-59.9599,-63.7316,-67.6531
60,0.8000,DynamicV1Rebalance,4.0000,4743.0832,189.7233,spend75p,49.2582,47.8840,46.5491,45.0013,43.5480,42.0604,40.4622,38.5782,36.7716,34.5757,32.0180,29.7895,27.1603,24.6676,21.4371,18.4257,14.8323,11.4332,7.7639,3.9072,0.4469,-3.5693,-7.4588,-11.4190,-15.4653,-20.0049,-25.1490,-30.2532,-34.6279,-37.7368,-41.1239,-44.8772,-49.2270,-53.6140,-58.3070
60,0.8000,DynamicV1Rebalance,5.0000,3794.4666,189.7233,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
