pension_start_age,spend_multiplier,spending_rule,use_dynamic_spending,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
60,0.36,2.8,1,6942.857142857144,194.4,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,0.36,2.8,1,6942.857142857144,194.4,spend25p,51.07379772819548,46.48316236271285,41.59242851877165,36.550550013885385,31.734367648054576,27.13272158257094,22.569730620733743,17.878351158108963,12.82030752807963,7.495863744608556,1.7032499779615233,-4.4867824848979385,-10.38236163209035,-16.371797367618143,-21.580078898985487,-26.783411016068996,-31.197393133535297,-35.16154960518469,-38.72937270520525,-42.26389347029941,-44.91173890538876,-48.243512983913845,-50.90923214152804,-53.775895354416676,-56.788491596397336,-59.96532056981736,-63.72603077243254,-67.1447489366162,-70.01161819278079,-72.6554354471967,-76.13223171786443,-79.8775670281681,-84.04645332768945,-89.1461388736281,-93.7696746898875
60,0.36,2.8,1,6942.857142857144,194.4,spend50p,51.91800457948273,47.475397519390626,43.35655605517414,39.294505413892765,35.298287804371164,31.408688815035795,27.28757538737829,22.913030708347634,18.237597052135154,12.9433551234053,7.381165057497481,1.4770706736492514,-4.288154493154742,-9.347779881366092,-13.36709602099679,-15.361962240173565,-16.248185350224375,-16.26626967896614,-16.285266211324235,-15.868394111122473,-14.646831858249381,-13.758106718528989,-12.66546199748187,-11.185913796729942,-9.702088082992708,-8.704781232927465,-7.613867421328484,-7.109623603545128,-6.686954229027788,-7.196869012153282,-8.102011880818623,-8.191308870483176,-9.60122948068486,-10.935863613167799,-11.956552704751262
60,0.36,2.8,1,6942.857142857144,194.4,spend75p,52.728890808623554,48.58836813374809,45.028199931994365,41.85065742469908,38.89956426673355,35.87064648694664,32.412641385994505,28.67525747436172,24.48760291992655,19.66255587698293,14.526562154727277,10.302602515667859,7.172787517822809,5.497980182389216,4.787858328700298,4.437303582254209,4.878952219820844,6.033214355009969,7.306120672486231,9.675222803241251,12.171921422198464,14.371526716047153,17.70157305128657,20.75037679060071,22.808877001019006,25.609794162541654,27.912821576574316,30.258288808996905,32.49805230251713,33.86035026044324,35.6350639628918,36.88312000993781,38.234062591467996,38.507263997951405,38.6204359828935
60,0.36,3.0,1,6480.0,194.4,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,0.36,3.0,1,6480.0,194.4,spend25p,51.07379772819548,46.43565291170738,41.43208551455007,36.15495880953152,31.28598760494431,26.276028750783684,21.541545639075558,16.672824900455204,11.424450715975162,5.945555985369733,0.147885505649048,-5.953568802819378,-12.081386217285875,-17.909725544383505,-23.134209619500695,-28.248038321099365,-32.736341577953745,-36.93433320650264,-40.85215934352434,-44.40631461154428,-47.454537525461504,-50.4274009050543,-53.8754484629622,-57.41041084583982,-60.98402871153714,-64.9583474545683,-69.51886545681828,-74.65961684076443,-79.60709116100638,-84.8684715230288,-90.87942532548553,-97.5545160463104,-103.85815353241213,-109.54945264709544,-115.94795062041175
60,0.36,3.0,1,6480.0,194.4,spend50p,51.91800457948273,47.42773899115097,43.14124612698754,38.86577372283201,34.757920208931,30.592745355814046,26.277201536882615,21.33283801879329,16.306981639716675,10.633979336359864,4.894527169608898,-1.024480929068373,-6.908293182445,-12.537488253208881,-17.522773266231557,-21.543611996055912,-24.373892103863334,-25.936041076454032,-26.181205927095725,-25.966113737939807,-25.77589858985705,-25.193148905300184,-24.38851456170674,-23.78257209595889,-23.308464768318473,-22.85641882496317,-22.522422151663406,-22.377118830595897,-22.484712073198402,-22.639126361847666,-23.530957286829413,-24.27880881373282,-25.096494372712492,-27.370487889568878,-28.731016114394926
60,0.36,3.0,1,6480.0,194.4,spend75p,52.728890808623554,48.5128439042194,44.7920302757933,41.399966078242656,38.120318252847056,34.57764520023071,30.838137063449885,26.61825849010043,21.957608425306063,16.427580481664428,10.705972855712014,5.051679479226615,0.37506048546838056,-2.1837185974336717,-3.799440321412701,-4.5212821829039775,-4.258653588584451,-3.943997277638755,-3.097100157936683,-1.0560610778210267,0.630159985524279,2.672714156394201,4.9069355689502,7.550896295760822,9.684724987579367,11.8743032196597,13.3303420151793,14.82268904308427,16.298841109454802,17.134747436037543,18.754725772004086,19.537661707601682,19.24373619531084,19.44078984796732,20.426817819118952
60,0.36,3.33,1,5837.8378378378375,194.4,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,0.36,3.33,1,5837.8378378378375,194.4,spend25p,51.07379772819548,46.42336019373398,41.3629939418596,36.05038958577631,30.87079158233452,25.759428322070335,20.635740047014437,15.126340091791713,9.461206109050742,3.702719323592401,-2.065579047748178,-8.092998711706091,-13.902100450933204,-19.682160584876332,-24.9513562415844,-29.78223049357774,-34.378087864482936,-38.540658866710004,-42.42467611543895,-46.16810993981338,-49.569274876537854,-52.82879191305918,-56.41775831831353,-59.99656827780616,-64.09675805458767,-68.69219099323867,-73.53905336905208,-79.01005447521567,-84.86713671780318,-91.46973569179517,-98.04281751881149,-105.67959893370508,-114.62680238069294,-122.67826217956326,-132.15607252421879
