pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
60,0.5000,No dynamic rebalance,2.5000,9954.8140,248.8703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.5000,No dynamic rebalance,2.5000,9954.8140,248.8703,spend25p,107.4802,100.4422,93.4623,87.2622,80.5572,74.1640,67.9676,60.5478,53.2017,45.2870,37.6776,30.0226,23.1758,16.7964,10.7394,6.0446,1.2764,-2.6170,-5.7143,-8.9609,-11.8745,-14.6947,-17.4377,-20.2505,-23.5463,-27.0696,-30.8061,-34.9271,-39.1580,-43.8229,-48.7224,-53.8417,-59.2050,-65.2440,-71.4797,-78.2530
60,0.5000,No dynamic rebalance,2.5000,9954.8140,248.8703,spend50p,108.4047,103.0901,98.0378,93.3330,88.6227,83.6845,78.3715,72.9682,66.5720,59.8341,52.5493,45.0735,38.3317,31.6079,25.3978,20.2069,15.8349,11.5527,8.0881,5.1143,2.3328,-0.2735,-2.7323,-5.4095,-8.5315,-12.4191,-16.0788,-20.5128,-25.6423,-31.0651,-36.5421,-42.5393,-49.0992,-56.0965,-63.0443,-70.0001
60,0.5000,No dynamic rebalance,2.5000,9954.8140,248.8703,spend75p,109.3103,105.8115,102.6458,99.7748,97.1240,94.3681,90.6223,86.4383,81.0266,74.6210,67.9326,60.8222,53.4381,47.1141,41.6302,36.7377,32.5264,29.2038,26.2663,23.8083,21.5779,19.4934,17.4847,14.6744,12.2868,8.6837,4.3534,-0.2811,-6.2109,-11.7838,-18.4080,-25.5082,-33.8681,-42.7632,-51.7614,-60.8878
60,0.5000,固定最適比率,2.5000,9954.8140,248.8703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.5000,固定最適比率,2.5000,9954.8140,248.8703,spend25p,107.4802,100.4422,93.4623,87.2622,80.5572,74.1640,67.9676,60.5478,53.2017,45.2870,37.6776,30.0226,23.1758,16.7964,10.7394,6.0446,1.2764,-2.6170,-5.7143,-8.9609,-11.8745,-14.6947,-17.4377,-20.2505,-23.5463,-27.0696,-30.8061,-34.9271,-39.1580,-43.8229,-48.7224,-53.8417,-59.2050,-65.2440,-71.4797,-78.2530
60,0.5000,固定最適比率,2.5000,9954.8140,248.8703,spend50p,108.4047,103.0901,98.0378,93.3330,88.6227,83.6845,78.3715,72.9682,66.5720,59.8341,52.5493,45.0735,38.3317,31.6079,25.3978,20.2069,15.8349,11.5527,8.0881,5.1143,2.3328,-0.2735,-2.7323,-5.4095,-8.5315,-12.4191,-16.0788,-20.5128,-25.6423,-31.0651,-36.5421,-42.5393,-49.0992,-56.0965,-63.0443,-70.0001
60,0.5000,固定最適比率,2.5000,9954.8140,248.8703,spend75p,109.3103,105.8115,102.6458,99.7748,97.1240,94.3681,90.6223,86.4383,81.0266,74.6210,67.9326,60.8222,53.4381,47.1141,41.6302,36.7377,32.5264,29.2038,26.2663,23.8083,21.5779,19.4934,17.4847,14.6744,12.2868,8.6837,4.3534,-0.2811,-6.2109,-11.7838,-18.4080,-25.5082,-33.8681,-42.7632,-51.7614,-60.8878
60,0.5000,DynamicV1Rebalance,2.5000,9954.8140,248.8703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.5000,DynamicV1Rebalance,2.5000,9954.8140,248.8703,spend25p,107.4802,100.4422,93.4623,87.2622,80.5572,74.1640,67.9676,60.5478,53.2017,45.2870,37.6776,30.0226,23.1758,16.7964,10.7394,6.0446,1.2764,-2.6170,-5.7143,-8.9609,-11.8745,-14.6947,-17.4377,-20.2505,-23.5463,-27.0696,-30.8061,-34.9271,-39.1580,-43.8229,-48.7224,-53.8417,-59.2050,-65.2440,-71.4797,-78.2530
60,0.5000,DynamicV1Rebalance,2.5000,9954.8140,248.8703,spend50p,108.4047,103.0901,98.0378,93.3330,88.6227,83.6845,78.3715,72.9682,66.5720,59.8341,52.5493,45.0735,38.3317,31.6079,25.3978,20.2069,15.8349,11.5527,8.0881,5.1143,2.3328,-0.2735,-2.7323,-5.4095,-8.5315,-12.4191,-16.0788,-20.5128,-25.6423,-31.0651,-36.5421,-42.5393,-49.0992,-56.0965,-63.0443,-70.0001
60,0.5000,DynamicV1Rebalance,2.5000,9954.8140,248.8703,spend75p,109.3103,105.8115,102.6458,99.7748,97.1240,94.3681,90.6223,86.4383,81.0266,74.6210,67.9326,60.8222,53.4381,47.1141,41.6302,36.7377,32.5264,29.2038,26.2663,23.8083,21.5779,19.4934,17.4847,14.6744,12.2868,8.6837,4.3534,-0.2811,-6.2109,-11.7838,-18.4080,-25.5082,-33.8681,-42.7632,-51.7614,-60.8878
60,0.5000,SpendAwareDPRebalance (re60),2.5000,9954.8140,248.8703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.5000,SpendAwareDPRebalance (re60),2.5000,9954.8140,248.8703,spend25p,107.4802,100.4422,93.4623,87.2622,80.5572,74.1640,67.9676,60.5478,53.2017,45.2870,37.6776,30.0226,23.1758,16.7964,10.7394,6.0446,1.2764,-2.6170,-5.7143,-8.9609,-11.8745,-14.6947,-17.4377,-20.2505,-23.5463,-27.0696,-30.8061,-34.9271,-39.1580,-43.8229,-48.7224,-53.8417,-59.2050,-65.2440,-71.4797,-78.2530
60,0.5000,SpendAwareDPRebalance (re60),2.5000,9954.8140,248.8703,spend50p,108.4047,103.0901,98.0378,93.3330,88.6227,83.6845,78.3715,72.9682,66.5720,59.8341,52.5493,45.0735,38.3317,31.6079,25.3978,20.2069,15.8349,11.5527,8.0881,5.1143,2.3328,-0.2735,-2.7323,-5.4095,-8.5315,-12.4191,-16.0788,-20.5128,-25.6423,-31.0651,-36.5421,-42.5393,-49.0992,-56.0965,-63.0443,-70.0001
60,0.5000,SpendAwareDPRebalance (re60),2.5000,9954.8140,248.8703,spend75p,109.3103,105.8115,102.6458,99.7748,97.1240,94.3681,90.6223,86.4383,81.0266,74.6210,67.9326,60.8222,53.4381,47.1141,41.6302,36.7377,32.5264,29.2038,26.2663,23.8083,21.5779,19.4934,17.4847,14.6744,12.2868,8.6837,4.3534,-0.2811,-6.2109,-11.7838,-18.4080,-25.5082,-33.8681,-42.7632,-51.7614,-60.8878
60,0.5000,SpendAwareDPRebalance (re40),2.5000,9954.8140,248.8703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.5000,SpendAwareDPRebalance (re40),2.5000,9954.8140,248.8703,spend25p,107.4802,100.4422,93.4623,87.2622,80.5572,74.1640,67.9676,60.5478,53.2017,45.2870,37.6776,30.0226,23.1758,16.7964,10.7394,6.0446,1.2764,-2.6170,-5.7143,-8.9609,-11.8745,-14.6947,-17.4377,-20.2505,-23.5463,-27.0696,-30.8061,-34.9271,-39.1580,-43.8229,-48.7224,-53.8417,-59.2050,-65.2440,-71.4797,-78.2530
60,0.5000,SpendAwareDPRebalance (re40),2.5000,9954.8140,248.8703,spend50p,108.4047,103.0901,98.0378,93.3330,88.6227,83.6845,78.3715,72.9682,66.5720,59.8341,52.5493,45.0735,38.3317,31.6079,25.3978,20.2069,15.8349,11.5527,8.0881,5.1143,2.3328,-0.2735,-2.7323,-5.4095,-8.5315,-12.4191,-16.0788,-20.5128,-25.6423,-31.0651,-36.5421,-42.5393,-49.0992,-56.0965,-63.0443,-70.0001
60,0.5000,SpendAwareDPRebalance (re40),2.5000,9954.8140,248.8703,spend75p,109.3103,105.8115,102.6458,99.7748,97.1240,94.3681,90.6223,86.4383,81.0266,74.6210,67.9326,60.8222,53.4381,47.1141,41.6302,36.7377,32.5264,29.2038,26.2663,23.8083,21.5779,19.4934,17.4847,14.6744,12.2868,8.6837,4.3534,-0.2811,-6.2109,-11.7838,-18.4080,-25.5082,-33.8681,-42.7632,-51.7614,-60.8878
60,0.5000,No dynamic rebalance,3.0000,8295.6783,248.8703,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
60,0.5000,No dynamic rebalance,3.0000,8295.6783,248.8703,spend25p,107.4802,100.4422,93.4623,87.2622,80.5572,74.1640,67.9676,60.5478,53.2017,45.2870,37.6776,30.0226,23.1758,16.7964,10.7394,6.0446,1.2764,-2.6170,-5.7143,-8.9609,-11.8745,-14.6947,-17.4377,-20.2505,-23.5463,-27.0696,-30.8061,-34.9271,-39.1580,-43.8229,-48.7224,-53.8417,-59.2050,-65.2440,-71.4797,-78.2530
