rule,strategy,year,p25,p50,p75
3.0,DRv2_DSv2,19,405.4644424757206,524.5653798560782,692.3254880033184
3.0,FixedSpend,19,539.29996672386,545.6425277456688,552.343083330816
3.0,DRv2_DSv1,20,381.39611184915907,440.6880989468567,519.1836451996379
3.0,DRv2_DSv2,20,394.8888002604722,516.2999893120864,688.5825722147777
3.0,FixedSpend,20,527.322922491635,533.8532005099619,540.5832964056787
3.0,DRv2_DSv1,21,241.90735791173728,296.5334871938412,363.60300752045134
3.0,DRv2_DSv2,21,248.76814584356478,363.3526218783682,526.8767282995041
3.0,FixedSpend,21,363.01336588735313,377.4117169761578,390.08071109355603
3.0,DRv2_DSv1,22,240.83066480206304,296.33670463608826,366.0304239728588
3.0,DRv2_DSv2,22,237.50704872153284,354.8352819739593,519.4743603557201
3.0,FixedSpend,22,349.9086624700698,365.4259273951916,378.4130775349099
3.0,DRv2_DSv1,23,239.69745531384038,297.15543858928623,367.0730353349363
3.0,DRv2_DSv2,23,224.43876037454584,343.10965606353295,506.9144847703391
3.0,FixedSpend,23,337.7953197255565,354.1565244802843,367.52335591451197
3.0,DRv2_DSv1,24,238.3394899437393,297.32928888628396,370.4548549474933
3.0,DRv2_DSv2,24,214.38791145274914,334.73463563706855,501.1152512237437
3.0,FixedSpend,24,326.4211028358774,343.15934331745035,356.52323956228327
3.0,DRv2_DSv1,25,236.7531582363493,296.69443997657334,371.86321913535664
3.0,DRv2_DSv2,25,205.49504457672194,326.0654528459978,491.5302935010817
3.0,FixedSpend,25,314.54396355941486,332.47064986499674,346.0927717350287
3.0,DRv2_DSv1,26,235.156159640463,295.9276674751645,373.3555996933089
3.0,DRv2_DSv2,26,196.2951069194299,316.45924946483956,479.8301058299866
3.0,FixedSpend,26,303.509188389605,321.2182178128515,334.79344967446565
3.0,DRv2_DSv1,27,233.67645558592454,295.93708942349014,374.55181487062424
3.0,DRv2_DSv2,27,186.38489322265667,309.83314314167455,467.9960245392268
3.0,FixedSpend,27,290.33251263241823,309.78813683650554,323.6583382422829
3.0,DRv2_DSv1,28,231.75315468603597,296.0529347168254,375.4452777369671
3.0,DRv2_DSv2,28,177.64561652308788,298.63807762473357,462.35578125740756
3.0,FixedSpend,28,277.5985186387246,297.6997637127329,311.7581846355713
3.0,DRv2_DSv1,29,229.91565831899422,296.51834851082384,376.62319474352995
3.0,DRv2_DSv2,29,168.72328761196007,288.314929027014,449.3784015501053
3.0,FixedSpend,29,263.65846787941655,284.72213597135135,299.07710242877386
3.0,DRv2_DSv1,30,228.70893293726365,295.82043581822154,378.45860260497955
3.0,DRv2_DSv2,30,156.48827248563077,275.6312031760943,439.40310728985907
3.0,FixedSpend,30,249.08597200481856,270.81258862314115,285.58389851457315
3.0,DRv2_DSv1,31,228.3988474146111,296.1180371190027,380.3590837116243
3.0,DRv2_DSv2,31,144.7998612445121,261.4489513432254,419.3817374839293
3.0,FixedSpend,31,234.55382647928434,256.2046150423288,272.0252214336679
3.0,DRv2_DSv1,32,226.18991084830398,296.0151381038064,381.4567420856013
3.0,DRv2_DSv2,32,136.36268787617664,247.9264234843498,409.4157696298693
3.0,FixedSpend,32,219.908861806315,242.26574500464685,258.84531895009826
3.0,DRv2_DSv1,33,223.59099903242546,294.85417818406324,382.12425335236674
3.0,DRv2_DSv2,33,124.79879778606598,238.4534368412285,398.9005891243336
3.0,FixedSpend,33,206.38889188699127,229.10462527650643,246.36651981772738
3.0,DRv2_DSv1,34,220.07508032963906,293.15709381044593,381.5373113762979
3.0,DRv2_DSv2,34,114.28385799557674,230.5123053081579,382.4056100920574
3.0,FixedSpend,34,193.97565124932254,217.3572397798996,234.7208901622049
3.0,DRv2_DSv1,35,217.15878087351604,293.50867629063447,382.18920838418217
3.0,DRv2_DSv2,35,107.38248364321,222.44163683603608,368.7561009790281
3.0,FixedSpend,35,183.2009043486575,207.8715068245578,224.84790827164665
3.0,DRv2_DSv1,36,214.597166458207,292.5981354890287,382.17556098888747
3.0,DRv2_DSv2,36,101.55363517786536,214.48938961868248,362.4576161882968
3.0,FixedSpend,36,173.88892799683765,199.0018474145988,216.85029872997438
3.0,DRv2_DSv1,37,212.39499581356966,292.1741323209111,383.97325219998834
3.0,DRv2_DSv2,37,98.83486375058965,207.88061894245004,357.0326146720155
3.0,FixedSpend,37,165.80910724136308,191.79072116096276,210.36326090441048
3.0,DRv2_DSv1,38,209.2314475057697,290.37301757998097,386.1782361571864
3.0,DRv2_DSv2,38,94.76629209356915,202.0197600174132,357.2734256112433
3.0,FixedSpend,38,158.01693512180785,185.96404287720728,204.61246114207518
3.0,DRv2_DSv1,39,206.5972733703501,290.11112417645404,386.3358963867457
3.0,DRv2_DSv2,39,89.0777109256686,201.01774334013703,357.845950055454
3.0,FixedSpend,39,151.72584885430712,181.03878987707887,200.3958430009173
3.0,DRv2_DSv1,40,203.53559971110673,290.00496670609925,387.20540239458967
3.0,DRv2_DSv2,40,85.38789619577958,197.83278412598608,360.25887664521736
3.0,FixedSpend,40,146.0873826337385,176.6537569189018,196.71300535989974
3.0,DRv2_DSv1,41,201.00337355762008,288.09796329813975,387.30804027168574
3.0,DRv2_DSv2,41,82.2569757206173,194.10370804864777,365.48406808793555
3.0,FixedSpend,41,141.53985401087516,172.05630935880237,193.43199483679666
3.0,DRv2_DSv1,42,198.65598242894526,287.65729066727135,388.058676901524
3.0,DRv2_DSv2,42,79.35784920564126,191.96103299237248,364.593810968333
3.0,FixedSpend,42,136.7436750516961,168.68765666059969,190.01837913816766
3.0,DRv2_DSv1,43,196.74739915621524,286.85869836870484,390.2458374263842
3.0,DRv2_DSv2,43,77.92726724696132,190.48932025632473,363.16167998271777
3.0,FixedSpend,43,132.55541582056574,165.02466465709855,187.02403978847138
3.0,DRv2_DSv1,44,193.14922138609109,286.5043094143475,391.057698413474
3.0,DRv2_DSv2,44,75.37670276036086,188.27666510151383,362.49467748934774
3.0,FixedSpend,44,127.58298564791573,161.27289286468923,183.80758189059958
3.0,DRv2_DSv1,45,190.89407969390373,286.0434220981204,391.30004498457583
3.0,DRv2_DSv2,45,73.3401028848454,188.0324000636743,369.5648343182695
3.0,FixedSpend,45,122.84041601491893,157.68458288854507,181.3403519046227
3.0,DRv2_DSv1,46,189.6569190359981,285.8888504254696,391.6934830306609
3.0,DRv2_DSv2,46,70.08211028082357,185.12001110978582,371.84746801286127
3.0,FixedSpend,46,118.144350473342,152.75086819640256,177.81539305912776
3.0,DRv2_DSv1,47,189.38857260071137,285.19985599481186,394.46697304154367
3.0,DRv2_DSv2,47,67.70542419603105,182.9252631015973,365.58227058373984
3.0,FixedSpend,47,112.37111516410238,148.10434870420565,174.44688677029305
3.0,DRv2_DSv1,48,187.88889640741726,284.75268466749907,394.3661652974202
3.0,DRv2_DSv2,48,64.24501211714376,178.4128259692783,363.0215885372905
3.0,FixedSpend,48,105.31004331554846,142.13353224338033,169.80839196369755
3.0,DRv2_DSv1,49,183.87296225223224,281.94750490662017,396.9341007240364
3.0,DRv2_DSv2,49,61.10825911031549,175.45462456447302,360.2210269494303
3.0,FixedSpend,49,98.20578020102211,137.0767100226455,164.96256865689523
3.0,DRv2_DSv1,50,181.3484492344441,281.71254060371473,397.3927630383453
3.0,DRv2_DSv2,50,56.20284485292693,171.5853250299179,356.14526193432823
3.0,FixedSpend,50,91.48684251530355,131.19162002418818,159.54263755387132
3.0,DRv2_DSv1,51,179.67594298331633,282.152364102393,396.088625533759
3.0,DRv2_DSv2,51,51.39343087983315,168.83634364638203,350.7852328941303
3.0,FixedSpend,51,83.96206537454059,124.65201168842742,154.09995278246345
3.0,DRv2_DSv1,52,177.179897309947,279.4981500610031,396.7659962653974
3.0,DRv2_DSv2,52,46.322973629634674,164.82117872315467,345.1153179823167
3.0,FixedSpend,52,76.35234049248002,118.18497704787951,148.51176340361116
3.0,DRv2_DSv1,53,173.90662565745592,278.1602404090222,397.90495499167054
3.0,DRv2_DSv2,53,41.257922519399045,158.4574332329633,342.4772964773724
3.0,FixedSpend,53,68.05116619698374,111.07056927758289,142.80995539381956
3.0,DRv2_DSv1,54,170.99771540959125,276.37301296634,399.27605024935053
3.0,DRv2_DSv2,54,35.49683617969989,151.0356508104053,340.1355011443543
3.0,FixedSpend,54,60.301258575344555,104.49139947255114,136.8885464162134
3.0,DRv2_DSv1,55,166.2787784473527,274.96166542448356,399.6468561320128
3.0,DRv2_DSv2,55,30.86708204014276,143.522486502758,334.1959375102856
3.0,FixedSpend,55,52.573467552519645,97.354728537684,130.42410054182463
3.5,DRv2_DSv1,1,478.20390666530346,478.3450672920926,478.49034762853415
3.5,DRv2_DSv2,1,473.62601574216666,473.76717636895586,473.9124567053974
3.5,FixedSpend,1,478.5363502231062,481.84524590912423,485.2507102333403
3.5,DRv2_DSv1,2,471.49274076722344,478.3500273039534,482.8643751816894
3.5,DRv2_DSv2,2,469.88178885726086,476.34773425835806,482.8712670648269
3.5,FixedSpend,2,487.28066511911516,491.8120738267869,496.1160942547309
3.5,DRv2_DSv1,3,464.9122170686437,476.11345667698333,487.3900950233051
3.5,DRv2_DSv2,3,465.7554550206115,479.60745088661315,493.61374388860315
3.5,FixedSpend,3,497.2289411217354,502.3011501727658,507.4665292390554
3.5,DRv2_DSv1,4,458.42906962137823,480.08323880902424,491.97426609716496
3.5,DRv2_DSv2,4,459.85366142771204,483.0443921721169,505.08260350496704
3.5,FixedSpend,4,507.5473488235394,513.0144843406624,518.3399542060695
3.5,DRv2_DSv1,5,452.0601606592281,474.20435682498,496.5701608299411
3.5,DRv2_DSv2,5,455.1451229054381,484.8755667785375,517.9094650707594
3.5,FixedSpend,5,518.0300381442901,523.4347491883843,528.9837629801444
3.5,DRv2_DSv1,6,447.4799952768936,477.7398987513227,501.13990700157774
3.5,DRv2_DSv2,6,448.74990654497583,487.9307443160476,528.4870971929238
3.5,FixedSpend,6,527.9949841263287,533.8267677176954,539.7748541801533
3.5,DRv2_DSv1,7,442.29360926724365,471.5263338737618,501.9496467998797
3.5,DRv2_DSv2,7,443.2148938583289,492.0688329975581,542.1364094134333
3.5,FixedSpend,7,537.8208986004571,544.1176717503951,550.3419952028196
3.5,DRv2_DSv1,8,437.7355557792995,467.14572407333935,499.72339330291493
3.5,DRv2_DSv2,8,439.75326619526993,495.2637692553043,553.8507161038027
3.5,FixedSpend,8,547.4766371067076,553.8084153281454,560.1405250911223
3.5,DRv2_DSv1,9,433.38464236850075,467.2276193608842,503.8614947396321
3.5,DRv2_DSv2,9,434.88229789446115,498.6669409957493,565.8566398800233
3.5,FixedSpend,9,556.6015345911754,562.732032903765,569.1209831431572
3.5,DRv2_DSv1,10,428.35026381136277,462.1867730704087,507.9655398477888
3.5,DRv2_DSv2,10,432.0646847977664,502.670344784647,578.6271121416407
3.5,FixedSpend,10,564.0337017230827,570.6258930471178,577.7577682654569
3.5,DRv2_DSv1,11,423.5312931903635,456.0138965056519,505.6918196604909
3.5,DRv2_DSv2,11,427.28783245116585,506.2245044639303,591.9841131264033
3.5,FixedSpend,11,570.1020375612707,577.1113392197362,584.3008236937985
3.5,DRv2_DSv1,12,417.77401006460207,451.8384239474779,506.2743940722316
3.5,DRv2_DSv2,12,423.3659365205859,509.864029651414,603.7598420357932
3.5,FixedSpend,12,574.6831815600519,581.8135386471162,588.9417790083013
3.5,DRv2_DSv1,13,412.1616768951389,449.1719064672482,509.4641489739498
3.5,DRv2_DSv2,13,419.65991892923466,510.68265100198,618.2976923006515
3.5,FixedSpend,13,577.0830420236249,584.4466205624526,591.1550006731256
3.5,DRv2_DSv1,14,406.6096048965785,445.9346207064541,505.09085247454095
3.5,DRv2_DSv2,14,412.8165274442549,510.10497827227306,628.0947510712612
3.5,FixedSpend,14,577.1208398775042,584.6373881024189,591.2905579035842
3.5,DRv2_DSv1,15,401.19267938639484,441.1802769189974,508.2597488910829
3.5,DRv2_DSv2,15,407.05229981909474,504.37121026817965,634.1301774079004
3.5,FixedSpend,15,574.3234831131643,581.7813328790202,588.5083377817173
3.5,DRv2_DSv1,16,397.65079548332085,438.66116787147314,506.7803751497005
3.5,DRv2_DSv2,16,401.75054838330516,499.30318469081044,634.8183717339105
3.5,FixedSpend,16,568.784604782689,575.6265783031326,582.8031532706286
3.5,DRv2_DSv1,17,394.20281203975986,436.37061392743357,506.08495742076894
3.5,DRv2_DSv2,17,390.3467808270394,495.3390796613852,636.6964035397428
3.5,FixedSpend,17,560.0167171752128,567.2782572394666,574.3480968967784
3.5,DRv2_DSv1,18,390.3891646581792,432.0106850011701,508.6986717685746
3.5,DRv2_DSv2,18,378.81266537037465,488.04618520184,634.4829671267631
3.5,FixedSpend,18,550.247347534255,557.1031032943954,564.0831829865607
3.5,DRv2_DSv1,19,386.1625740578462,428.7393624471579,507.1902152586688
3.5,DRv2_DSv2,19,368.66885929267244,478.85090499624266,630.2341181230993
3.5,FixedSpend,19,539.2554696148221,545.6409831072083,552.3622962395451
3.5,DRv2_DSv1,20,381.4800067353937,425.9740077816821,508.4854641966871
3.5,DRv2_DSv2,20,359.6851313005885,470.93448795287384,627.042659708612
3.5,FixedSpend,20,527.3308249873484,533.913051881639,540.606062823575
3.5,DRv2_DSv1,21,242.91714253327245,282.4921752144568,352.0167264096491
3.5,DRv2_DSv2,21,213.91280307638323,319.2725764709511,463.08572923269935
3.5,FixedSpend,21,362.85719162888904,377.25809002940144,390.0376282634092
3.5,DRv2_DSv1,22,240.26886219860813,281.4614837034567,354.3165617986509
3.5,DRv2_DSv2,22,202.81467359684876,311.01195430063547,460.9756192181725
3.5,FixedSpend,22,349.697667664867,365.2929994086543,378.31399001069076
