pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,15568.0541,435.9055,spend50p,439.4225,447.4476,454.5757,459.0277,462.8979,464.2187,464.5662,463.7846,461.5601,458.5515,434.2981,430.3523,431.5764,430.4048,427.9493,424.9787,420.5267,415.4721,409.0036,403.8290,34.8674,19.7194,3.9947,-9.3683,-21.8247,-33.1384,-42.9810,-52.2776,-60.7758,-68.7494,-76.0311,-84.0403,-92.6088,-101.5821,-110.6667,-120.2996,-130.5335,-141.9181,-154.1381,-168.3326,-183.1164,-198.9646,-216.7124,-236.3997,-256.6002
70,0.7500,SpendAwareDPRebalance (R70-aware),2.8000,15568.0541,435.9055,spend75p,442.5086,456.8390,471.6522,485.4098,497.8418,507.9901,518.1030,524.0347,530.5875,536.1156,512.2310,517.3800,521.2050,525.6801,531.8518,536.1989,539.6610,546.9974,547.0502,548.0149,81.1682,62.8863,45.0970,28.4768,14.3073,0.5082,-10.7269,-21.0130,-30.2498,-38.6838,-46.7810,-54.8094,-64.8612,-74.9360,-85.5985,-97.4194,-109.5603,-123.2135,-136.9638,-149.9343,-163.5886,-178.5792,-194.2325,-210.6032,-227.8252
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,14530.1838,435.9055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9990,0.9990,0.9980,0.9975,0.9975,0.9975,0.9970,0.9970,0.9970,0.9965,0.9965,0.9960,0.9960,0.9960,0.9960,0.9960,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955,0.9955
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,14530.1838,435.9055,spend25p,436.4179,437.9992,437.9839,435.1966,430.9818,425.2021,417.0440,407.5808,397.5320,388.0149,360.3081,355.0581,348.3611,340.8391,334.9373,328.6092,323.0620,318.2311,310.2380,302.9450,-0.4194,-14.2551,-26.7845,-38.4210,-48.6742,-58.4782,-67.5198,-75.5538,-83.1168,-89.8669,-96.8787,-103.8885,-111.3649,-119.7826,-128.1492,-137.1129,-147.5228,-160.0771,-173.2820,-188.4861,-206.4167,-225.0190,-245.8898,-268.5677,-295.4228
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,14530.1838,435.9055,spend50p,439.4225,447.4476,454.5757,459.0277,462.8979,464.2187,464.5662,463.7846,461.5601,458.5515,434.2981,430.3523,431.5764,430.4048,427.9493,424.9787,420.5267,415.3499,408.6660,403.7586,34.7252,19.5251,3.9389,-9.3683,-21.8247,-33.1384,-42.9810,-52.2776,-60.7758,-68.7494,-76.0311,-84.0403,-92.6088,-101.5821,-110.6667,-120.2996,-130.5335,-141.8911,-154.1041,-168.3167,-183.0730,-198.8480,-216.6240,-236.2094,-256.4366
70,0.7500,SpendAwareDPRebalance (R70-aware),3.0000,14530.1838,435.9055,spend75p,442.5086,456.8390,471.6522,485.4098,497.8418,507.9901,518.1030,524.0347,530.5875,536.1156,512.2310,517.3800,521.2050,525.6801,531.8518,536.1989,539.6610,546.6774,546.9660,547.7532,80.9380,62.5708,45.0518,28.3227,13.9654,0.0538,-10.7269,-21.0130,-30.2498,-38.6838,-46.7810,-54.8094,-64.8612,-74.9360,-85.5985,-97.3737,-109.5021,-123.1821,-136.8735,-149.9021,-163.4797,-178.5157,-194.0570,-210.4855,-227.3422
70,0.7500,SpendAwareDPRebalance (R70-aware),3.3300,13090.2557,435.9055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9985,0.9985,0.9980,0.9980,0.9965,0.9950,0.9940,0.9940,0.9940,0.9940,0.9930,0.9930,0.9920,0.9910,0.9910,0.9910,0.9910,0.9905,0.9900,0.9900,0.9900,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895
70,0.7500,SpendAwareDPRebalance (R70-aware),3.3300,13090.2557,435.9055,spend25p,436.4179,437.9992,437.9839,435.1966,430.9818,425.2021,417.0440,407.5808,397.5320,388.0149,360.3081,355.0581,348.3611,340.8391,334.9373,328.3345,322.3739,317.3531,309.9310,301.4724,-0.4194,-14.2551,-26.7845,-38.4210,-48.6742,-58.4782,-67.5198,-75.5538,-83.1168,-89.8669,-96.8787,-103.8885,-111.3649,-119.7826,-128.1492,-137.1129,-147.5228,-160.0622,-173.1714,-188.2845,-206.2900,-224.8768,-245.5230,-267.7999,-294.6277
70,0.7500,SpendAwareDPRebalance (R70-aware),3.3300,13090.2557,435.9055,spend50p,439.4225,447.4476,454.5757,459.0277,462.8979,464.2187,464.5662,463.7846,461.5601,458.5515,434.2981,430.3523,431.5764,430.4048,427.9493,424.9352,419.7011,414.9098,408.1573,403.1687,34.4662,18.9776,3.7709,-9.3683,-21.8247,-33.1384,-42.9810,-52.2776,-60.7758,-68.7494,-76.0311,-83.9932,-92.5951,-101.5574,-110.6344,-120.2916,-130.5223,-141.8461,-154.0219,-168.0993,-182.8757,-198.6537,-216.4815,-235.8408,-256.0030
70,0.7500,SpendAwareDPRebalance (R70-aware),3.3300,13090.2557,435.9055,spend75p,442.5086,456.8390,471.6522,485.4098,497.8418,507.9901,518.1030,524.0347,530.5875,536.1156,512.2310,517.3800,521.2050,525.6801,531.8518,535.5157,538.3082,544.1657,546.2739,545.8057,80.4526,62.0352,44.4627,27.9001,13.5289,0.0000,-10.6514,-20.9927,-30.2341,-38.6212,-46.6830,-54.8015,-64.7927,-74.8638,-85.5856,-97.2272,-109.2825,-122.9927,-136.5816,-149.8070,-163.3294,-178.2338,-193.3801,-209.9399,-226.7365
70,0.7500,SpendAwareDPRebalance (R70-aware),3.6600,11909.9868,435.9055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9985,0.9975,0.9960,0.9950,0.9940,0.9910,0.9890,0.9865,0.9860,0.9850,0.9845,0.9835,0.9815,0.9810,0.9810,0.9805,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800
70,0.7500,SpendAwareDPRebalance (R70-aware),3.6600,11909.9868,435.9055,spend25p,436.4179,437.9992,437.9839,435.1966,430.9818,425.2021,417.0440,407.5808,397.5320,388.0149,360.3081,355.0581,348.3611,340.8391,334.5570,328.2593,321.0959,314.5756,307.5267,298.5579,-0.4194,-14.2551,-26.7845,-38.4210,-48.6742,-58.4782,-67.5198,-75.5538,-83.1168,-89.8669,-96.8787,-103.8885,-111.3466,-119.6312,-128.1129,-137.0899,-147.4689,-159.8482,-172.7779,-187.8917,-205.7676,-224.4745,-244.6762,-266.8766,-293.0788
70,0.7500,SpendAwareDPRebalance (R70-aware),3.6600,11909.9868,435.9055,spend50p,439.4225,447.4476,454.5757,459.0277,462.8979,464.2187,464.5662,463.7846,461.5601,458.5515,434.2981,430.3523,431.5764,430.4048,427.5970,424.6961,419.2666,413.4895,406.0741,400.8390,33.8431,17.8119,2.9418,-9.3335,-21.7945,-33.0442,-42.9640,-52.2776,-60.7526,-68.6797,-75.9962,-83.9499,-92.5131,-101.4186,-110.5365,-120.2543,-130.4599,-141.7265,-153.8499,-167.6817,-182.3494,-198.0730,-215.7710,-234.8132,-255.4470
