spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1.0,Dynamic Rebalance DP (V2),4.0,11954.727307842204,478.18909231368815,spend50p,481.88131537415825,497.2204043539498,512.9479610906785,530.2825417820558,548.1375562140524,567.238630467343,585.8783661196836,605.6586531613602,624.499268112027,642.1275421953865,656.3470620360706,669.1762114058904,679.3918566426685,682.4020795491713,682.4837612586691,674.4596520185629,662.2564248844282,642.8689397290893,624.1974506638784,599.1499703596141,412.53989902255,393.23663933044566,374.96811865538916,358.7471104052636,340.2106186487955,324.1475902320999,305.6245705279703,285.209138058571,267.1034879003336,246.14269272967812,229.7077508445794,209.6892129041929,192.47570571883898,175.75856797166364,159.94529092192312,148.43799136535281,137.76192261081374,128.23195373673866,119.25927523033789,111.58662596217455,102.01691638591652,93.04452597251041,84.81426528534197,77.30395027012572,69.80450027355275,62.08988061334834,51.42446825571949,37.924356008425086,26.149642127431342,16.844845808633707,6.52577977980198,0.0,0.0,0.0,0.0
1.0,Dynamic Rebalance DP (V2),4.0,11954.727307842204,478.18909231368815,spend75p,485.15424267369553,507.3552286989855,532.7416677000014,559.9680886781413,589.3569897327837,619.3257414797456,653.0002282244504,686.648094843801,719.6156055780787,751.5186365309397,780.8032500586337,807.7444519354533,829.9393477830604,848.743034199656,859.1978603505919,863.1427337547083,860.8013277576373,853.4757230933349,844.2844111929612,825.9134854458121,598.8487236458922,583.6304821775464,568.2194825787622,549.0966197938602,537.868308317643,524.4481298512021,506.97105176465726,487.3036818139324,468.7302561556096,449.49049891918605,429.7375391042252,405.9935984037782,385.3653399466946,371.2869520495672,353.13847097875225,339.81923565653324,329.44713872073623,324.20292863456586,314.80644663598866,308.63243482399616,306.5070061229975,299.13686971531524,294.2686966337089,287.1721979567,277.91229319733543,270.73301613578144,257.69444335466403,245.9601250617224,233.29937111616977,220.53503601469808,206.3513662537053,192.12114501037632,176.40469870897726,163.48015789672655,147.11519423895973
1.0,固定最適比率,4.5,10626.424273637514,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.996,0.9898,0.9812,0.9598,0.9378,0.9128000000000001,0.8768,0.8378,0.7968,0.7612,0.7242,0.69,0.6648000000000001,0.6468,0.627,0.61,0.5936,0.5800000000000001,0.5636,0.5504,0.5408,0.5314,0.5226,0.5166,0.5084,0.5025999999999999,0.495,0.4908,0.48619999999999997,0.481,0.477,0.47319999999999995,0.4698,0.46340000000000003,0.45840000000000003,0.45520000000000005,0.4508,0.44699999999999995,0.4444,0.4414,0.43820000000000003,0.4356,0.43220000000000003,0.4304,0.4286,0.4262,0.4242
1.0,ダイナミック最適比率 (V1),4.5,10626.424273637514,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9986,0.996,0.99,0.981,0.96,0.9376,0.9124,0.8768,0.8392,0.7996,0.7634,0.7276,0.6956,0.6702,0.6522,0.6337999999999999,0.6178,0.6026,0.5880000000000001,0.5748,0.5624,0.5516,0.5426,0.5338,0.5274,0.521,0.5152,0.5102,0.5054000000000001,0.5012,0.4962,0.494,0.49060000000000004,0.4878,0.48519999999999996,0.48119999999999996,0.47740000000000005,0.4756,0.47319999999999995,0.471,0.4686,0.46640000000000004,0.46499999999999997,0.4636,0.4618,0.4598,0.4588,0.45740000000000003
1.0,Dynamic Rebalance DP (V2),4.5,10626.424273637514,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.996,0.99,0.9816,0.9618,0.9392,0.9154,0.885,0.8506,0.8154,0.7844,0.7516,0.7214,0.702,0.687,0.6706,0.655,0.6434,0.629,0.6178,0.6072,0.5973999999999999,0.5904,0.5828,0.575,0.5686,0.5609999999999999,0.5528,0.5486,0.5424,0.5362,0.5307999999999999,0.527,0.5207999999999999,0.5176000000000001,0.5124,0.5072,0.5005999999999999,0.49660000000000004,0.49039999999999995,0.48319999999999996,0.4786,0.474,0.46740000000000004,0.46220000000000006,0.45740000000000003,0.45199999999999996,0.44620000000000004
1.0,固定最適比率,5.0,9563.781846273763,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9972,0.992,0.9838,0.9634,0.937,0.9052,0.8613999999999999,0.8192,0.7712,0.721,0.6806,0.6442,0.611,0.5858,0.5638000000000001,0.5436000000000001,0.5256000000000001,0.5116,0.5008,0.4888,0.47540000000000004,0.46299999999999997,0.45220000000000005,0.44199999999999995,0.43579999999999997,0.4292,0.41979999999999995,0.4144,0.41059999999999997,0.40659999999999996,0.4022,0.39680000000000004,0.39139999999999997,0.387,0.3832,0.3808,0.3778,0.37360000000000004,0.36960000000000004,0.36660000000000004,0.364,0.36119999999999997,0.35940000000000005,0.357,0.35519999999999996,0.35419999999999996,0.35319999999999996,0.3516
1.0,ダイナミック最適比率 (V1),5.0,9563.781846273763,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9972,0.9918,0.9838,0.9628,0.9366,0.9056,0.8608,0.8186,0.7722,0.7216,0.6826,0.6472,0.6134,0.589,0.5706,0.5489999999999999,0.5307999999999999,0.5176000000000001,0.5045999999999999,0.4952,0.48240000000000005,0.47119999999999995,0.46020000000000005,0.45199999999999996,0.44499999999999995,0.4374,0.42979999999999996,0.4246,0.42000000000000004,0.41479999999999995,0.41180000000000005,0.4084,0.4032,0.40159999999999996,0.3982,0.3954,0.3932,0.39059999999999995,0.3892,0.387,0.385,0.38380000000000003,0.38280000000000003,0.38060000000000005,0.3798,0.3788,0.37660000000000005,0.3762
1.0,Dynamic Rebalance DP (V2),5.0,9563.781846273763,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,0.9998,0.9994,0.9972,0.992,0.9838,0.9634,0.937,0.906,0.8628,0.8228,0.779,0.7316,0.6930000000000001,0.6606000000000001,0.632,0.6112,0.5946,0.5758,0.5596,0.5464,0.5344,0.5242,0.514,0.504,0.49239999999999995,0.48540000000000005,0.4788,0.47419999999999995,0.4686,0.46040000000000003,0.45520000000000005,0.4516,0.4478,0.44299999999999995,0.4384,0.43400000000000005,0.4292,0.4244,0.42079999999999995,0.41479999999999995,0.40900000000000003,0.40359999999999996,0.3984,0.3942,0.38959999999999995,0.3852,0.3812,0.3768,0.37339999999999995,0.369
1.0,固定最適比率,5.5,8694.347132976149,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,0.9998,0.9986,0.9956,0.9876,0.9702,0.9396,0.9032,0.854,0.806,0.7458,0.6932,0.6496,0.6052,0.5626,0.5294,0.5058,0.48660000000000003,0.46599999999999997,0.4506,0.43300000000000005,0.41759999999999997,0.40659999999999996,0.39459999999999995,0.38460000000000005,0.37839999999999996,0.37,0.36360000000000003,0.35740000000000005,0.35140000000000005,0.34519999999999995,0.33899999999999997,0.3336,0.3296,0.3256,0.3226,0.3196,0.31479999999999997,0.31020000000000003,0.3064,0.3032,0.3004,0.29879999999999995,0.29600000000000004,0.29359999999999997,0.2922,0.29079999999999995,0.2892,0.28779999999999994,0.2872,0.28559999999999997
1.0,ダイナミック最適比率 (V1),5.5,8694.347132976149,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9956,0.9872,0.97,0.9390000000000001,0.9028,0.853,0.8056,0.7458,0.6928000000000001,0.6496,0.6056,0.5646,0.5314,0.5072,0.48839999999999995,0.4688,0.45399999999999996,0.43779999999999997,0.42300000000000004,0.4124,0.40080000000000005,0.39059999999999995,0.38339999999999996,0.3762,0.369,0.3638,0.358,0.35240000000000005,0.3476,0.34099999999999997,0.3378,0.33399999999999996,0.33140000000000003,0.32899999999999996,0.32520000000000004,0.3228,0.3206,0.3186,0.3166,0.3156,0.31299999999999994,0.31220000000000003,0.3106,0.30979999999999996,0.30900000000000005,0.30779999999999996,0.3074,0.3064
1.0,Dynamic Rebalance DP (V2),5.5,8694.347132976149,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,0.9998,0.9986,0.9956,0.9876,0.9702,0.9396,0.9032,0.854,0.8064,0.7482,0.696,0.6552,0.6128,0.5742,0.5436000000000001,0.522,0.5045999999999999,0.48619999999999997,0.47219999999999995,0.45699999999999996,0.4456,0.43579999999999997,0.42600000000000005,0.4154,0.4102,0.40480000000000005,0.39880000000000004,0.393,0.38560000000000005,0.3808,0.37760000000000005,0.3718,0.36819999999999997,0.36319999999999997,0.35960000000000003,0.3548,0.35040000000000004,0.347,0.34240000000000004,0.33799999999999997,0.33420000000000005,0.3298,0.32599999999999996,0.3228,0.31799999999999995,0.31320000000000003,0.31020000000000003,0.3062,0.3022,0.29800000000000004
1.0,固定最適比率,6.0,7969.818205228136,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,0.9994,0.9978,0.9916,0.978,0.949,0.9076,0.8578,0.8008,0.7323999999999999,0.6746,0.621,0.5696,0.5254,0.48560000000000003,0.45220000000000005,0.42900000000000005,0.40680000000000005,0.388,0.37439999999999996,0.36140000000000005,0.348,0.3378,0.3286,0.3164,0.30900000000000005,0.3012,0.2954,0.28800000000000003,0.28359999999999996,0.2772,0.2732,0.2682,0.26580000000000004,0.26180000000000003,0.25780000000000003,0.2558,0.2532,0.25039999999999996,0.249,0.24719999999999998,0.24439999999999995,0.242,0.24019999999999997,0.2378,0.23640000000000005,0.235,0.23260000000000003,0.23199999999999998,0.22999999999999998,0.22860000000000003
1.0,ダイナミック最適比率 (V1),6.0,7969.818205228136,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,0.9994,0.998,0.9914,0.978,0.9486,0.9072,0.8572,0.7994,0.7316,0.6739999999999999,0.6212,0.5698,0.5262,0.48640000000000005,0.4536,0.4312,0.4094,0.39080000000000004,0.3782,0.365,0.3506,0.34019999999999995,0.33220000000000005,0.3196,0.3134,0.3052,0.29979999999999996,0.29300000000000004,0.28859999999999997,0.28280000000000005,0.27880000000000005,0.275,0.2724,0.26859999999999995,0.26439999999999997,0.26139999999999997,0.25960000000000005,0.25680000000000003,0.256,0.25460000000000005,0.2538,0.25239999999999996,0.2512,0.24980000000000002,0.24760000000000004,0.247,0.246,0.24560000000000004,0.24480000000000002,0.24439999999999995
1.0,Dynamic Rebalance DP (V2),6.0,7969.818205228136,478.18909231368815,survival,1.0,1.0,1.0,1.0,1.0,0.9994,0.9978,0.9916,0.978,0.949,0.9076,0.8578,0.8009999999999999,0.7336,0.6764,0.624,0.5740000000000001,0.5304,0.49360000000000004,0.46240000000000003,0.44320000000000004,0.42379999999999995,0.4054,0.3944,0.38160000000000005,0.36760000000000004,0.3598,0.3516,0.34199999999999997,0.33520000000000005,0.3296,0.3228,0.31820000000000004,0.3124,0.30679999999999996,0.3034,0.2994,0.2966,0.29259999999999997,0.28859999999999997,0.28600000000000003,0.28259999999999996,0.2784,0.27480000000000004,0.27080000000000004,0.26859999999999995,0.26480000000000004,0.262,0.25839999999999996,0.255,0.252,0.25039999999999996,0.24680000000000002,0.24380000000000002,0.24160000000000004
1.0,固定最適比率,7.0,6831.272747338401,478.18909231368815,survival,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9938,0.9782,0.9422,0.888,0.8196,0.7398,0.6658,0.5904,0.5286,0.4708,0.4262,0.38060000000000005,0.3458,0.31699999999999995,0.2944,0.27580000000000005,0.2612,0.24619999999999997,0.2358,0.22540000000000004,0.21940000000000004,0.21140000000000003,0.20599999999999996,0.20020000000000004,0.19679999999999997,0.19340000000000002,0.18820000000000003,0.18379999999999996,0.17920000000000003,0.17679999999999996,0.17459999999999998,0.17279999999999995,0.17120000000000002,0.1684,0.16500000000000004,0.16379999999999995,0.16279999999999994,0.16159999999999997,0.15959999999999996,0.1572,0.15539999999999998,0.15400000000000003,0.1532,0.15239999999999998,0.15200000000000002,0.1512,0.14959999999999996,0.14939999999999998,0.14880000000000004
1.0,ダイナミック最適比率 (V1),7.0,6831.272747338401,478.18909231368815,survival,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9938,0.9784,0.943,0.8894,0.8184,0.7392000000000001,0.6644,0.5898,0.5276000000000001,0.47019999999999995,0.42600000000000005,0.3808,0.3466,0.31820000000000004,0.2952,0.27780000000000005,0.26239999999999997,0.248,0.238,0.2268,0.2218,0.2138,0.20820000000000005,0.20220000000000005,0.1986,0.1946,0.19079999999999997,0.18620000000000003,0.18159999999999998,0.17979999999999996,0.17759999999999998,0.17559999999999998,0.17420000000000002,0.17279999999999995,0.17159999999999997,0.16979999999999995,0.16900000000000004,0.16759999999999997,0.16620000000000001,0.1652,0.1644,0.16379999999999995,0.1634,0.16300000000000003,0.16279999999999994,0.16200000000000003,0.16159999999999997,0.16080000000000005,0.1604
1.0,Dynamic Rebalance DP (V2),7.0,6831.272747338401,478.18909231368815,survival,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9938,0.9782,0.9422,0.888,0.8196,0.7398,0.6658,0.5908,0.529,0.4718,0.4274,0.3832,0.35,0.3228,0.30179999999999996,0.28400000000000003,0.2702,0.2558,0.246,0.2368,0.23219999999999996,0.22499999999999998,0.21999999999999997,0.2148,0.2098,0.20479999999999998,0.20140000000000002,0.19779999999999998,0.19399999999999995,0.1916,0.18899999999999995,0.18700000000000006,0.1856,0.18420000000000003,0.18179999999999996,0.17900000000000005,0.17700000000000005,0.17579999999999996,0.17359999999999998,0.17100000000000004,0.1694,0.16759999999999997,0.16500000000000004,0.16279999999999994,0.16080000000000005,0.15959999999999996,0.15839999999999999,0.1572,0.15600000000000003
