target_years,spend_ratio,strategy,survival_probability
30,0.0666666,固定最適比率,0.2096
30,0.0666666,ダイナミック最適比率,0.21699999999999997
30,0.0666666,110-年齢 (30歳開始),0.19779999999999998
30,0.0666666,110-年齢 (40歳開始),0.17200000000000004
30,0.0666666,110-年齢 (50歳開始),0.14080000000000004
30,0.0666666,110-年齢 (60歳開始),0.10160000000000002
30,0.05,固定最適比率,0.4488
30,0.05,ダイナミック最適比率,0.4718
30,0.05,110-年齢 (30歳開始),0.4488
30,0.05,110-年齢 (40歳開始),0.44399999999999995
30,0.05,110-年齢 (50歳開始),0.4312
30,0.05,110-年齢 (60歳開始),0.41200000000000003
30,0.04,固定最適比率,1.0
30,0.04,ダイナミック最適比率,0.6779999999999999
30,0.04,110-年齢 (30歳開始),0.6512
30,0.04,110-年齢 (40歳開始),0.6674
30,0.04,110-年齢 (50歳開始),0.6844
30,0.04,110-年齢 (60歳開始),0.7016
30,0.035714,固定最適比率,1.0
30,0.035714,ダイナミック最適比率,0.7934
30,0.035714,110-年齢 (30歳開始),0.736
30,0.035714,110-年齢 (40歳開始),0.7644
30,0.035714,110-年齢 (50歳開始),0.792
30,0.035714,110-年齢 (60歳開始),0.8202
30,0.033333,固定最適比率,0.9998
30,0.033333,ダイナミック最適比率,0.8546
30,0.033333,110-年齢 (30歳開始),0.7846
30,0.033333,110-年齢 (40歳開始),0.8144
30,0.033333,110-年齢 (50歳開始),0.8424
30,0.033333,110-年齢 (60歳開始),0.8714
30,0.03,固定最適比率,0.9996
30,0.03,ダイナミック最適比率,0.942
30,0.03,110-年齢 (30歳開始),0.8456
30,0.03,110-年齢 (40歳開始),0.8722
30,0.03,110-年齢 (50歳開始),0.906
30,0.03,110-年齢 (60歳開始),0.9312
30,0.028571,固定最適比率,0.9994
30,0.028571,ダイナミック最適比率,0.9744
30,0.028571,110-年齢 (30歳開始),0.8696
30,0.028571,110-年齢 (40歳開始),0.8986
30,0.028571,110-年齢 (50歳開始),0.9256
30,0.028571,110-年齢 (60歳開始),0.9482
30,0.025,固定最適比率,0.9986
30,0.025,ダイナミック最適比率,0.9998
30,0.025,110-年齢 (30歳開始),0.9214
30,0.025,110-年齢 (40歳開始),0.9416
30,0.025,110-年齢 (50歳開始),0.9634
30,0.025,110-年齢 (60歳開始),0.9804
30,0.022222,固定最適比率,0.9984
30,0.022222,ダイナミック最適比率,1.0
30,0.022222,110-年齢 (30歳開始),0.9472
30,0.022222,110-年齢 (40歳開始),0.9682
30,0.022222,110-年齢 (50歳開始),0.9826
30,0.022222,110-年齢 (60歳開始),0.993
30,0.02,固定最適比率,0.9982
30,0.02,ダイナミック最適比率,1.0
30,0.02,110-年齢 (30歳開始),0.969
30,0.02,110-年齢 (40歳開始),0.9816
30,0.02,110-年齢 (50歳開始),0.9916
