"時点","地域コード","地域","消費者物価指数（総合）2020年基準","注記"
"1983年11月","00000","全国","81.1",""
"1983年12月","00000","全国","80.8",""
"1984年1月","00000","全国","81.1",""
"1984年2月","00000","全国","81.6",""
"1984年3月","00000","全国","81.7",""
"1984年4月","00000","全国","81.9",""
"1984年5月","00000","全国","82.5",""
"1984年6月","00000","全国","81.9",""
"1984年7月","00000","全国","82.1",""
"1984年8月","00000","全国","81.4",""
"1984年9月","00000","全国","82.7",""
"1984年10月","00000","全国","83.2",""
"1984年11月","00000","全国","82.8",""
"1984年12月","00000","全国","83.0",""
"1985年1月","00000","全国","83.2",""
"1985年2月","00000","全国","82.9",""
"1985年3月","00000","全国","83.2",""
"1985年4月","00000","全国","83.8",""
"1985年5月","00000","全国","83.9",""
"1985年6月","00000","全国","83.9",""
"1985年7月","00000","全国","84.1",""
"1985年8月","00000","全国","83.9",""
"1985年9月","00000","全国","84.0",""
"1985年10月","00000","全国","84.8",""
"1985年11月","00000","全国","84.1",""
"1985年12月","00000","全国","84.2",""
"1986年1月","00000","全国","84.5",""
"1986年2月","00000","全国","84.4",""
"1986年3月","00000","全国","84.3",""
"1986年4月","00000","全国","84.6",""
"1986年5月","00000","全国","84.8",""
"1986年6月","00000","全国","84.4",""
"1986年7月","00000","全国","84.2",""
"1986年8月","00000","全国","84.0",""
"1986年9月","00000","全国","84.4",""
"1986年10月","00000","全国","84.5",""
"1986年11月","00000","全国","84.1",""
"1986年12月","00000","全国","83.9",""
"1987年1月","00000","全国","83.6",""
"1987年2月","00000","全国","83.6",""
"1987年3月","00000","全国","83.9",""
"1987年4月","00000","全国","84.7",""
"1987年5月","00000","全国","84.8",""
"1987年6月","00000","全国","84.7",""
"1987年7月","00000","全国","84.3",""
"1987年8月","00000","全国","84.3",""
"1987年9月","00000","全国","85.1",""
"1987年10月","00000","全国","85.1",""
"1987年11月","00000","全国","84.7",""
"1987年12月","00000","全国","84.6",""
"1988年1月","00000","全国","84.3",""
"1988年2月","00000","全国","84.2",""
"1988年3月","00000","全国","84.5",""
