upper_limit,lower_limit,is_dynamic_rebalance,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.01,-0.005,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9992,0.9988,0.9986,0.9974,0.9972,0.9964,0.995,0.9932,0.9898,0.987,0.983,0.9794,0.9746,0.9694,0.9638,0.954,0.9466,0.9346,0.9218,0.9097999999999999,0.9008,0.8894,0.8768,0.8668,0.858,0.845,0.8324,0.8206,0.8064,0.7978000000000001,0.7856,0.7734,0.7622,0.7505999999999999,0.738,0.7298
0.01,-0.0,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9986,0.9974,0.9968,0.9962,0.9942,0.992,0.988,0.984,0.9796,0.9754,0.9706,0.9648,0.9564,0.9466,0.9358,0.921,0.9042,0.8928,0.8804,0.8652,0.8522000000000001,0.8368,0.8206,0.8068,0.7916,0.779,0.7624,0.745,0.7325999999999999,0.721,0.7068,0.6930000000000001,0.6804,0.6668000000000001,0.6524
0.02,-0.03,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9988,0.9988,0.9982,0.9978,0.9978,0.9974,0.9966,0.9958,0.9946,0.9934,0.993,0.9908,0.9886,0.9864,0.9838,0.9828,0.9808,0.9794,0.9772,0.975,0.9716,0.9698,0.967,0.965,0.9621999999999999,0.9598,0.9574,0.9542
0.02,-0.025,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9986,0.998,0.9978,0.9972,0.9964,0.9956,0.9944,0.9928,0.9916,0.9908,0.9888,0.9854,0.983,0.9808,0.9772,0.974,0.9714,0.969,0.9646,0.9618,0.9578,0.954,0.9506,0.9468,0.9442,0.9418,0.9390000000000001,0.9368,0.931
0.02,-0.02,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9992,0.999,0.9988,0.9978,0.9978,0.9968,0.996,0.9952,0.9942,0.993,0.9916,0.9894,0.9864,0.9834,0.9808,0.9786,0.9744,0.9698,0.9646,0.9608,0.9568,0.9518,0.948,0.9434,0.9382,0.933,0.9276,0.92,0.9162,0.9116,0.9062,0.9012,0.895
0.02,-0.015,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.999,0.9988,0.9986,0.9978,0.9976,0.9962,0.996,0.9948,0.994,0.992,0.9902,0.9872,0.9836,0.9808,0.9756,0.971,0.9664,0.96,0.9542,0.9464,0.9384,0.9318,0.9234,0.9172,0.9096,0.9032,0.8976,0.8904,0.883,0.8742,0.8684000000000001,0.86,0.8548,0.8458
0.02,-0.01,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9986,0.9986,0.9976,0.9972,0.9966,0.9952,0.9942,0.9918,0.9906,0.988,0.9844,0.9802,0.975,0.9692,0.9628,0.9554,0.9446,0.9366,0.9286,0.9198,0.91,0.901,0.893,0.8835999999999999,0.8744000000000001,0.865,0.8528,0.8436,0.8331999999999999,0.823,0.8144,0.8044,0.793,0.783
0.02,-0.005,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9992,0.9988,0.9986,0.9974,0.9972,0.9964,0.9948,0.9932,0.9898,0.9868,0.983,0.9792,0.9736,0.968,0.9621999999999999,0.9524,0.9438,0.9312,0.919,0.9066,0.897,0.8854,0.8735999999999999,0.863,0.8493999999999999,0.8371999999999999,0.8240000000000001,0.8104,0.7962,0.7858,0.7716000000000001,0.7585999999999999,0.747,0.7338,0.722,0.7108
0.02,-0.0,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9994,0.999,0.9986,0.9974,0.9968,0.9962,0.994,0.9918,0.988,0.984,0.979,0.9746,0.97,0.964,0.955,0.9436,0.9336,0.9178,0.9004,0.888,0.8758,0.86,0.8464,0.8286,0.8132,0.7964,0.7802,0.7652,0.7496,0.7316,0.7182,0.7021999999999999,0.687,0.6712,0.6566000000000001,0.6426000000000001,0.6295999999999999
0.03,-0.03,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9988,0.9988,0.9982,0.9978,0.9978,0.9974,0.9966,0.9958,0.9946,0.9934,0.9926,0.9908,0.988,0.986,0.9832,0.9826,0.9804,0.9788,0.9768,0.9748,0.9716,0.9686,0.9648,0.9628,0.9606,0.9568,0.9548,0.9518
0.03,-0.025,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.9992,0.9992,0.9992,0.9992,0.9986,0.998,0.9976,0.9972,0.9964,0.9956,0.9944,0.9928,0.9916,0.9904,0.9884,0.9852,0.9828,0.9802,0.9772,0.9736,0.9708,0.9684,0.964,0.96,0.956,0.9522,0.949,0.9456,0.9422,0.9394,0.9358,0.9328,0.9272
0.03,-0.02,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9994,0.9994,0.9992,0.999,0.9988,0.9978,0.9978,0.9968,0.996,0.9952,0.9942,0.993,0.9916,0.9896,0.986,0.9828,0.9804,0.9786,0.9738,0.9688,0.9636,0.9592,0.9554,0.9498,0.945,0.9414,0.9358,0.9294,0.9238,0.9168000000000001,0.9122,0.9077999999999999,0.9018,0.8954,0.8892
0.03,-0.015,1,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9996,0.9994,0.999,0.9988,0.9986,0.9978,0.9976,0.996,0.996,0.9948,0.9938,0.9916,0.99,0.9868,0.9832,0.9802,0.975,0.9704,0.9658,0.9592,0.9524,0.944,0.9352,0.9284,0.9214,0.9156,0.9074,0.8996,0.893,0.8852,0.8784,0.8702,0.8636,0.8533999999999999,0.8472,0.8376
