upper_limit,lower_limit,is_dynamic_rebalance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.01,-0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9984,0.9956,0.9922,0.9866,0.9788,0.9688,0.9558,0.9388,0.924,0.908,0.8894,0.869,0.8524,0.8314,0.8152,0.7976,0.7776000000000001,0.7608,0.7416,0.7243999999999999,0.7096,0.6936,0.6804,0.6658,0.6504,0.6377999999999999,0.625,0.6142000000000001,0.6042000000000001,0.5926,0.5808,0.567,0.5576,0.5468,0.5364,0.5256000000000001,0.5154000000000001,0.5078,0.501,0.49219999999999997
0.01,-0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9982,0.9944,0.9906,0.9834,0.974,0.9601999999999999,0.9448,0.928,0.9106,0.8904,0.871,0.85,0.8266,0.8092,0.7874,0.7664,0.7478,0.7256,0.7066,0.6901999999999999,0.6736,0.659,0.644,0.6255999999999999,0.6135999999999999,0.6022000000000001,0.5860000000000001,0.5720000000000001,0.5638000000000001,0.5506,0.5392,0.5267999999999999,0.5144,0.5034000000000001,0.49539999999999995,0.488,0.478,0.471,0.46340000000000003,0.4566
0.01,-0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9978,0.9926,0.988,0.9804,0.968,0.9516,0.9339999999999999,0.9156,0.8944,0.8738,0.8488,0.825,0.8034,0.7782,0.758,0.7343999999999999,0.7128,0.6928000000000001,0.6744,0.6556,0.6384000000000001,0.6242,0.6078,0.5918,0.5782,0.5609999999999999,0.5468,0.5342,0.5207999999999999,0.5087999999999999,0.4982,0.48619999999999997,0.4766,0.46719999999999995,0.45940000000000003,0.4508,0.44220000000000004,0.4324,0.42679999999999996,0.41800000000000004
0.01,-0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.997,0.9918,0.9862,0.9758,0.9598,0.9422,0.9212,0.8996,0.8774,0.8542,0.8262,0.8002,0.7744,0.7496,0.7232000000000001,0.7036,0.6798,0.6622,0.64,0.619,0.6033999999999999,0.5853999999999999,0.5686,0.5528,0.5376000000000001,0.5216000000000001,0.509,0.49460000000000004,0.48440000000000005,0.47340000000000004,0.46299999999999997,0.4516,0.44220000000000004,0.4312,0.42300000000000004,0.4142,0.40480000000000005,0.397,0.3912,0.38460000000000005
0.02,-0.03,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9982,0.995,0.9926,0.9882,0.9818,0.9748,0.9654,0.9576,0.947,0.9344,0.9234,0.908,0.8932,0.8764,0.8646,0.851,0.839,0.8248,0.8104,0.7934,0.7802,0.7664,0.7538,0.743,0.7283999999999999,0.7152000000000001,0.7034,0.694,0.6832,0.6736,0.6616,0.6534,0.6422,0.6314,0.6204000000000001,0.6113999999999999,0.5998,0.5893999999999999,0.5813999999999999
0.02,-0.025,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9976,0.994,0.9908,0.985,0.9788,0.968,0.96,0.9492,0.9344,0.9208,0.9034,0.8874,0.8726,0.8553999999999999,0.841,0.8260000000000001,0.8092,0.7936,0.7766,0.76,0.7458,0.7336,0.722,0.7088,0.6938,0.6818,0.6704,0.6564,0.6432,0.6294,0.6184000000000001,0.6068,0.5946,0.585,0.575,0.5638000000000001,0.5528,0.5436000000000001,0.5352
0.02,-0.02,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9988,0.9962,0.9928,0.9882,0.982,0.9736,0.962,0.952,0.9346,0.9208,0.9044,0.8862,0.8678,0.8504,0.8338,0.8156,0.7968,0.7806,0.7616,0.7442,0.7288,0.7134,0.6992,0.6828000000000001,0.6682,0.6542,0.6402,0.628,0.614,0.6006,0.5880000000000001,0.5762,0.5656,0.5526,0.542,0.5324,0.5218,0.5116,0.502,0.49219999999999997
0.02,-0.015,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,0.9984,0.9956,0.9922,0.9864,0.9782,0.9672,0.9546,0.9376,0.9222,0.906,0.884,0.866,0.8462000000000001,0.8256,0.8074,0.787,0.7666,0.7476,0.7274,0.7094,0.6958,0.6788000000000001,0.6599999999999999,0.6446000000000001,0.6278,0.614,0.602,0.5853999999999999,0.5731999999999999,0.5591999999999999,0.546,0.5329999999999999,0.5207999999999999,0.5087999999999999,0.4982,0.48640000000000005,0.4768,0.46519999999999995,0.45740000000000003,0.45099999999999996
0.02,-0.01,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.999,0.9982,0.9944,0.9906,0.9832,0.9736,0.9588,0.9442,0.9258,0.9088,0.8858,0.8658,0.8444,0.8226,0.7988,0.7782,0.7565999999999999,0.7336,0.7143999999999999,0.6924,0.6754,0.659,0.6392,0.62,0.6052,0.5898,0.5762,0.5604,0.5424,0.5314,0.5174000000000001,0.5044,0.49260000000000004,0.47940000000000005,0.46840000000000004,0.4576,0.44699999999999995,0.4376,0.4272,0.41879999999999995,0.4102
0.02,-0.005,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9988,0.9978,0.9926,0.9878,0.9802,0.9676,0.9506,0.9319999999999999,0.9132,0.8904,0.8696,0.8422000000000001,0.8192,0.7952,0.7712,0.746,0.7222,0.6984,0.6782,0.6579999999999999,0.6402,0.623,0.6018,0.5858,0.5674,0.55,0.5338,0.5166,0.5012,0.48839999999999995,0.47540000000000004,0.4638,0.4516,0.43799999999999994,0.42800000000000005,0.41700000000000004,0.4062,0.39980000000000004,0.38980000000000004,0.3798,0.3728
