pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
65,0.5000,DynamicV1Rebalance,2.5000,10015.7818,250.3945,spend50p,252.3443,260.1265,268.3098,276.8258,285.7399,295.0718,304.7472,314.7011,324.9372,334.2999,341.8930,349.5228,357.5168,363.2185,367.8871,367.9463,365.5147,363.0111,361.7392,359.5229,328.5663,324.7531,321.0499,315.0426,310.7062,69.0261,60.3435,49.2595,39.1469,27.1468,14.9873,2.9684,0.0000,-12.1210,-23.6879,-33.9758,-44.4283,-53.2429,-61.5026,-70.0891,-78.5612,-86.4172,-94.5591,-102.6908,-111.0653,-120.2652,-129.9124,-141.3335,-153.2841,-165.8037,-179.7391,-194.0115,-209.2771,-225.5837,-243.9550
65,0.5000,DynamicV1Rebalance,2.5000,10015.7818,250.3945,spend75p,254.1081,265.4947,278.5743,291.6772,305.9222,322.3535,339.3939,355.0525,372.6618,389.0346,406.6716,422.9352,436.2448,448.6176,458.9792,468.3133,475.1524,480.5435,483.8624,484.8695,447.8837,447.0014,440.8373,439.6537,439.8270,130.2504,120.3607,109.6407,96.0802,80.9224,66.7328,49.9232,34.5566,20.9611,7.2078,0.0000,0.0000,-11.0402,-21.3715,-30.9150,-40.5907,-49.1150,-59.6651,-69.4458,-79.1523,-91.8818,-104.7610,-116.8117,-128.2481,-139.4182,-151.7499,-164.6214,-177.5239,-191.5623,-205.4271
65,0.5000,SpendAwareDPRebalance (R65-aware),2.5000,10015.7818,250.3945,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9980,0.9960,0.9940,0.9925,0.9880,0.9855,0.9830,0.9820,0.9810,0.9795,0.9775,0.9745,0.9710,0.9680,0.9650,0.9640,0.9630,0.9620,0.9620,0.9605,0.9595,0.9585,0.9570,0.9570,0.9570,0.9570,0.9565,0.9560,0.9555,0.9545,0.9545,0.9545,0.9545,0.9540,0.9540,0.9540,0.9540,0.9540
65,0.5000,SpendAwareDPRebalance (R65-aware),2.5000,10015.7818,250.3945,spend25p,250.5060,254.6860,258.4409,262.3834,265.8682,270.1113,274.1916,278.8020,281.9625,284.4865,285.9840,287.9415,288.7265,289.7927,291.5044,290.2807,287.9594,285.2892,281.9768,277.5899,251.3252,246.1417,243.0283,239.0151,234.9083,31.9302,22.8899,13.5705,4.0536,-1.8920,-12.4405,-23.0709,-33.9879,-44.5993,-54.5354,-62.9096,-71.2197,-78.8750,-85.4995,-92.5520,-99.8756,-106.8364,-113.9669,-122.2586,-131.7068,-141.6248,-151.8739,-163.7609,-177.1926,-192.4994,-208.9447,-227.2976,-247.5613,-268.6729,-292.6676
65,0.5000,SpendAwareDPRebalance (R65-aware),2.5000,10015.7818,250.3945,spend50p,252.3443,260.1265,268.3098,276.8258,285.7399,295.0718,304.7472,314.7011,324.9372,334.2999,341.8930,349.5650,357.7738,364.4332,370.0299,370.2910,369.5481,366.5478,366.8692,365.2888,336.9078,332.8700,329.4761,326.8796,322.9743,74.6578,66.1152,56.5176,44.6567,32.1236,19.6935,5.9131,-1.7172,-13.7305,-25.3356,-35.8422,-45.7629,-54.5552,-62.9160,-71.7001,-79.6799,-87.9097,-95.5628,-104.0442,-112.3548,-121.3570,-131.6747,-142.5935,-154.9426,-167.8191,-181.8308,-196.5071,-212.4416,-228.7017,-246.7453
65,0.5000,SpendAwareDPRebalance (R65-aware),2.5000,10015.7818,250.3945,spend75p,254.1081,265.4947,278.5743,291.6772,305.9222,322.3535,339.3939,355.0525,372.6618,389.0346,406.6716,423.0781,436.5921,448.8549,461.0631,469.8296,477.5401,486.2590,490.7277,492.4257,455.5790,456.4833,457.7682,454.2438,457.4799,137.5310,128.6506,116.1169,102.5123,87.2994,71.0311,54.9527,38.5125,23.8794,9.6798,0.0000,-6.9959,-17.0537,-27.3614,-36.8269,-46.3556,-56.2609,-65.2749,-74.7291,-85.4456,-97.1261,-109.9274,-120.7399,-132.1223,-142.9748,-155.7236,-168.8255,-181.3712,-196.0093,-210.8816
65,0.5000,No dynamic rebalance,2.8000,8942.6624,250.3945,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9975,0.9955,0.9900,0.9860,0.9720,0.9650,0.9565,0.9425,0.9305,0.9165,0.9055,0.8890,0.8775,0.8630,0.8580,0.8555,0.8520,0.8490,0.8465,0.8465,0.8430,0.8430,0.8425,0.8415,0.8410,0.8400,0.8395,0.8390,0.8385,0.8385,0.8385,0.8380,0.8380,0.8380,0.8380,0.8380,0.8380,0.8380,0.8380,0.8380,0.8380,0.8380,0.8380,0.8380
65,0.5000,No dynamic rebalance,2.8000,8942.6624,250.3945,spend25p,250.5060,254.6860,258.4409,262.3834,265.8682,270.1113,274.1916,278.8020,281.9625,284.4865,285.8289,287.2826,287.6560,286.8434,288.0147,282.8153,278.1567,271.3623,261.8335,253.7096,225.1112,215.1642,204.6152,196.4911,183.8907,5.0801,0.0000,0.0000,0.0000,-0.6915,-10.9216,-21.7902,-32.8418,-43.0577,-52.8760,-61.9511,-69.8115,-77.8350,-84.5857,-91.7125,-98.5695,-105.3916,-112.6772,-120.6210,-129.1304,-138.2036,-149.3135,-161.0903,-174.2504,-188.9278,-204.3290,-222.2046,-241.3062,-262.6118,-285.8220
65,0.5000,No dynamic rebalance,2.8000,8942.6624,250.3945,spend50p,252.3443,260.1265,268.3098,276.8258,285.7399,295.0718,304.7472,314.7011,324.9372,334.2999,341.8091,348.9895,356.5197,360.2063,364.9915,362.3964,359.4822,354.8373,349.3809,344.5185,312.0987,306.1692,297.5686,292.9366,287.9685,56.2390,47.5485,36.8335,27.3680,16.1629,4.8504,0.0000,0.0000,-8.9653,-20.5817,-31.9731,-41.0899,-50.4153,-59.0575,-67.8482,-76.1203,-84.8376,-92.9487,-100.6723,-108.9095,-118.7730,-127.8913,-138.6150,-149.6765,-161.9895,-175.1972,-188.7705,-203.2165,-218.5194,-236.3787
65,0.5000,No dynamic rebalance,2.8000,8942.6624,250.3945,spend75p,254.1081,265.4947,278.5743,291.6772,305.9222,322.3535,339.3939,355.0525,372.6618,389.0346,406.5054,422.7867,435.5601,447.0685,455.5100,459.9428,464.4655,467.5761,467.5888,466.6408,428.4167,421.1906,416.9126,415.5605,411.8936,116.2601,105.2519,93.3907,80.8083,66.4376,52.8733,37.1614,23.5113,9.6859,0.0000,0.0000,0.0000,0.0000,0.0000,-10.4874,-20.8415,-30.2932,-38.9685,-48.4420,-59.2870,-71.9580,-84.8521,-100.1340,-115.1919,-128.2099,-142.0727,-154.0075,-165.7185,-179.0193,-191.7054
65,0.5000,固定最適比率,2.8000,8942.6624,250.3945,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9995,0.9980,0.9935,0.9880,0.9825,0.9765,0.9665,0.9595,0.9505,0.9480,0.9430,0.9385,0.9365,0.9345,0.9320,0.9305,0.9275,0.9270,0.9255,0.9255,0.9255,0.9255,0.9245,0.9240,0.9230,0.9230,0.9230,0.9225,0.9225,0.9220,0.9220,0.9220,0.9220,0.9220,0.9220,0.9220,0.9220,0.9220,0.9220
65,0.5000,固定最適比率,2.8000,8942.6624,250.3945,spend25p,250.5060,254.6860,258.4409,262.3834,265.8682,270.1113,274.1916,278.8020,281.9625,284.4865,285.9840,287.9415,288.7265,289.7927,291.5044,290.2807,287.9594,285.2892,280.7989,275.6395,248.6510,242.8945,235.9434,228.9303,221.4651,25.0960,16.7755,6.8186,0.0000,-1.6201,-12.1621,-22.8553,-33.8297,-44.4001,-54.0759,-62.7527,-70.9052,-78.5687,-85.2822,-92.3536,-99.5800,-106.3820,-113.5674,-121.8039,-130.8002,-140.6426,-150.9562,-162.6992,-175.8814,-190.9521,-207.0798,-224.8272,-245.3204,-266.9775,-290.3724
65,0.5000,固定最適比率,2.8000,8942.6624,250.3945,spend50p,252.3443,260.1265,268.3098,276.8258,285.7399,295.0718,304.7472,314.7011,324.9372,334.2999,341.8930,349.5650,357.7738,364.4332,370.0299,370.2910,369.5481,366.5478,366.3562,363.0929,333.9906,329.8911,323.9188,318.1288,312.2238,70.0099,60.5102,49.3784,39.0375,27.1468,14.5948,2.4822,-1.1825,-13.2636,-24.3397,-35.0764,-45.1813,-53.9086,-62.1739,-70.9440,-78.8740,-86.8687,-94.8275,-103.2375,-111.5883,-120.4993,-130.5301,-141.6610,-153.7671,-166.1407,-180.1365,-194.2852,-209.4094,-225.5837,-243.6896
65,0.5000,固定最適比率,2.8000,8942.6624,250.3945,spend75p,254.1081,265.4947,278.5743,291.6772,305.9222,322.3535,339.3939,355.0525,372.6618,389.0346,406.6716,423.0781,436.5921,448.8549,461.0631,469.8296,477.5401,486.2590,487.4704,488.5688,449.2632,450.3301,443.5890,439.9403,439.5529,129.5569,118.4474,106.6836,93.7899,79.1142,63.7391,47.5588,32.2866,17.8356,3.8705,0.0000,-2.8590,-14.0657,-24.2805,-32.9180,-42.7950,-51.7643,-61.1610,-70.6024,-81.2689,-93.3180,-106.2131,-118.3756,-129.6760,-140.2680,-152.3162,-165.2825,-177.7489,-191.5623,-205.3485
65,0.5000,DynamicV1Rebalance,2.8000,8942.6624,250.3945,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9995,0.9985,0.9965,0.9915,0.9885,0.9830,0.9730,0.9680,0.9595,0.9485,0.9370,0.9305,0.9210,0.9100,0.9020,0.8975,0.8940,0.8910,0.8890,0.8860,0.8855,0.8825,0.8815,0.8805,0.8805,0.8795,0.8780,0.8770,0.8770,0.8755,0.8750,0.8745,0.8740,0.8740,0.8735,0.8735,0.8735,0.8735,0.8735,0.8735,0.8735,0.8735,0.8735,0.8735,0.8735
65,0.5000,DynamicV1Rebalance,2.8000,8942.6624,250.3945,spend25p,250.5060,254.6860,258.4409,262.3834,265.8682,270.1113,274.1916,278.8020,281.9625,284.4865,285.8289,287.4822,287.8298,287.6302,288.3687,285.8980,280.8765,275.8152,269.8082,262.5434,232.8475,226.1315,218.6833,209.1388,202.1951,13.5466,5.2658,0.0000,0.0000,-1.1213,-11.7501,-22.4659,-33.4491,-43.8332,-53.7039,-62.3120,-70.2618,-78.0901,-84.9681,-92.0426,-99.0187,-105.7410,-113.1480,-121.0896,-129.8741,-139.1879,-149.8130,-161.8711,-174.8887,-189.5884,-205.4304,-222.9241,-242.5481,-263.7206,-287.4355
