household_size,pension_start_age,spend_multiplier,use_dynamic_spending,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,60,0.36,1,2.8,6231.857142857143,174.492,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.9985,0.998,0.997,0.9965,0.994,0.992,0.99,0.99,0.99,0.99,0.9895,0.9895,0.989,0.989,0.989,0.989,0.989,0.989,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885
1,60,0.36,1,2.8,6231.857142857143,174.492,spend25p,174.50681435161528,175.27063203923186,177.099185010543,179.41546592656005,182.22473157654534,184.8202386689934,187.90217759913895,190.69867790116302,193.0957917425282,194.84387560335136,196.65020375779184,197.7103048723435,199.0813966439062,200.47243821723254,201.59160857712664,202.91987408941873,203.79523244856432,204.7611014637683,205.80329225050107,207.64859283178933,-16.662907364208955,-18.299954778860247,-21.296952955465713,-24.950792898555658,-28.887402627095973,-30.982277514462453,-33.83093693794638,-37.543320208149,-39.7056149911266,-41.898832995770796,-46.876333631693235,-52.4046690847357,-58.36716208059636,-64.5418476160057,-69.68298275563086,-75.04850669937525,-78.1991482157322,-82.274371429302,-89.37167778497383,-93.0457987802306,-99.57044566590646,-110.6982109108339,-119.57182767586781,-128.10719669858213,-135.61509668480812,-142.92741036093113,-146.4444000750564,-156.1769902089476,-167.74152992140097,-177.5256277133078,-187.96610520062296,-198.37217448345075,-205.1662030977796,-214.21821192525795,-223.03479058454383
1,60,0.36,1,2.8,6231.857142857143,174.492,spend50p,174.6479749784045,178.93328255585683,183.23935980387552,187.4449696469852,191.76950533419645,196.06398353645636,200.3513748584099,203.6491757207384,206.85368342268964,209.39670122021175,211.75891017237916,213.5036409262745,215.0442397363395,216.31431223906173,217.62693074646708,219.38682779794777,221.2143494318404,222.9657355162589,224.99351329062682,226.96437336678133,27.106500805121023,25.174754833078758,23.65104861300492,24.543696099574593,24.322057955728457,23.96551088513486,23.939096149836118,24.868251646340088,25.72868121960315,26.697727396297225,27.56293574116441,27.426855493460387,27.521783395971624,26.153480581806605,27.14457235186873,26.286300605931025,26.235358118105097,24.46169305527084,21.408941776934267,19.367750408385504,17.167544260375426,15.880743148775679,14.631852215076547,12.371246539619438,7.6954484677851465,6.263576736399521,4.93072957267529,0.0,0.0,-1.2627069704044782,-4.647125891530747,-7.900534342925006,-13.07044222887454,-16.558539873693178,-18.240557232866692
1,60,0.36,1,2.8,6231.857142857143,174.492,spend75p,174.79325531484602,179.60951167211007,184.62560165754408,189.71052072372382,195.02513645317512,200.30679499424699,205.673175869195,210.8741912847131,215.86188386711962,220.62215890746592,224.54538431512424,227.7130183213142,230.25196026036627,232.23642936901103,234.3300834605814,236.20644481144907,238.36219849448247,240.36309985555778,242.86750550753698,245.54961839339592,64.28124528853454,63.71587390739677,64.59778444798083,64.13587765774182,64.4167807275129,66.01809184736724,66.48541572311942,67.74755238341137,69.27192478371661,70.3413196787924,72.13163690225635,73.24900469976347,74.78253115388426,75.15526407633087,76.79847388278645,77.40461621333272,77.66881801640943,79.00610131970686,79.94587570910711,81.20883497108689,83.10819256380793,84.57859303864744,85.50576720028809,87.14113567790756,88.5738145380119,90.52684658806396,89.44148846311418,91.10080947377426,91.24459089761902,93.66353733463964,95.06232422620901,96.66533527627412,97.37362997404175,96.39537044579697,95.90555050566813
1,60,0.36,1,3.0,5816.4,174.492,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.999,0.998,0.997,0.9955,0.9935,0.9895,0.988,0.983,0.983,0.983,0.983,0.983,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982
1,60,0.36,1,3.0,5816.4,174.492,spend25p,174.50681435161528,174.89058211229613,175.65745731359698,177.08278005882875,178.55277560725733,180.38048518208188,182.46143514199755,184.15249463828064,185.85308478432694,187.29917047140484,188.84672149375552,190.4791053602306,191.28160450224112,192.22213398738555,193.3465549911761,194.46167245244482,195.37526629759122,196.35475763244568,197.62981648425165,199.05603654503378,-21.138019781754355,-25.54832321571685,-29.625539919159387,-33.522334328416505,-37.09307128856736,-38.53490921396804,-42.42311428334242,-45.69462734855588,-49.86598248717072,-52.66176702328031,-57.83767360315924,-63.13028640808567,-67.71644958905364,-75.92260143373676,-81.79895433612273,-85.92373956720922,-91.89335039205803,-97.74304552592804,-103.15562894487408,-110.05694820855456,-118.52436774484907,-125.95374450200336,-135.35548897818558,-145.2477269514553,-151.63545640609505,-155.62065196917726,-162.65574640232074,-171.81720173479158,-181.48397683012092,-191.54744865167015,-200.4115740038787,-213.7142252107583,-225.116778073185,-233.16582696183227,-245.90360679914102
1,60,0.36,1,3.0,5816.4,174.492,spend50p,174.6479749784045,177.28787335979436,179.91401204064624,183.69550279546837,187.10970315550153,190.6783764192637,194.1099935640156,197.29663808078618,199.82187257699195,202.80860057860676,204.62655153897148,206.19372123274508,207.60983939346426,209.06993209453032,210.63742008119664,212.10465752627417,213.5674946977121,215.19255311089773,217.1010843760715,218.8087616425151,18.727832355661736,16.708643123506626,14.65357842932314,14.962285414757611,14.249018122244864,14.966391583170806,13.571229166197389,13.388546595543815,13.231107734273255,13.439635018050868,14.187490849574024,13.732088761073419,13.068708703889628,11.964643079707212,10.76307404556147,9.57731107501749,8.690875688027514,7.802895682252652,5.700818463015188,3.1913641266124806,1.5199248190117416,0.0,0.0,0.0,-0.2939587871335956,-3.99669626660614,-6.451083290982972,-8.427758550470688,-14.756174856979362,-20.340402091386814,-22.88433307871454,-26.230225096287757,-29.669727383017864,-33.99818074075054,-38.13398810791246
1,60,0.36,1,3.0,5816.4,174.492,spend75p,174.79325531484602,179.4362174421942,184.103425468985,188.92745841873793,193.74938321407546,198.67276077938936,203.54523628028525,207.95600579756353,211.6503851476354,215.12319259753008,217.86037419215512,220.16430435981417,222.24572123495133,224.31559718469774,226.27387705098448,228.0360976961105,229.90925573930446,231.92078720183108,234.56358440943572,236.71127250718655,53.9586160345044,53.55262226888591,53.29023038865762,53.56704254997619,53.86131720244784,55.04498188838116,56.5084183588459,57.67047722143411,59.423220707230456,60.50084530835658,60.98162745103621,62.91719042250563,62.7389128087589,63.66748888418145,64.56768776523268,66.60406306159055,66.87692912070881,69.35543542045968,69.50613238047299,71.65688188774386,72.41460073605182,74.01788820741358,74.42692844318762,75.46667945541273,76.55127922371037,77.89797566451176,78.26264519722307,78.66810724314891,78.3851245784981,78.87790999994421,80.76934246090092,82.35650320546284,81.47890203880712,83.07439351106055,83.93927571177117
1,60,0.36,1,3.33,5239.999999999999,174.492,survival,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.999,0.998,0.996,0.9945,0.991,0.9855,0.979,0.9745,0.965,0.9645,0.9645,0.964,0.964,0.964,0.964,0.9635,0.9635,0.9635,0.9635,0.963,0.963,0.963,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625,0.9625
1,60,0.36,1,3.33,5239.999999999999,174.492,spend25p,174.50681435161528,174.5945024250385,174.8958689076287,175.56453630480962,176.32707790282817,177.31182268979347,178.32720160165738,179.27889974496247,180.1020005810126,181.21536905869598,181.99567705468178,182.66937474625396,183.4107771046108,184.1889015082831,184.88379876231681,185.62447849706734,186.16325028575582,186.85645939951806,187.581606259926,188.4479257348558,-28.981530184221768,-34.380139302339664,-38.79527389576941,-42.57800664922658,-46.44432048281165,-49.96269237097512,-53.016021550662074,-57.35685821817359,-60.959506485162656,-65.13386915568046,-69.5358926390952,-75.33025348663071,-81.24269087075518,-90.38508671497348,-96.59530336607558,-101.81925176987582,-108.30705721098458,-114.2129657889102,-121.00846832637157,-127.66821048577556,-137.77299787207056,-145.8763477746851,-154.82156083987383,-162.71214496698843,-170.17033176204723,-175.24760975942135,-179.58043336083347,-188.62614246064442,-200.4662167855672,-216.62973573803365,-228.81687176347572,-241.05239385927334,-249.8879968508908,-260.81054624637983,-269.89906866837094
